bvid,title,author,pub_date,duration_sec,views,danmaku,reply,favorite,coin,share,like,score,engagement_rate
BV1uyfAY2Eas,你不经意的瞬间，我心里早已激起一片涟漪,难晴雨yu,2025-04-02 01:52:52,31,1478771,377,1085,60547,3482,8034,212851,0,19.27
BV1J7oXYhE9N,总统装疯卖傻，老白女快乐屋，世界边缘小国绝望样本【西非12丨冈比亚】,小王Albert,2025-03-29 01:00:00,1762,2812806,8537,2353,16416,33070,1821,109454,0,5.72
BV15TZ5YmE7C,阿勃维尔能秀到啥程度？【神奇组织28】,小约翰可汗,2025-03-28 03:00:00,2166,6328401,25647,7662,55434,154477,9285,275604,0,7.82
BV1s3fAYuEo1,在敌人的桅杆上投弹！用跳弹轰炸打出的逆天战损比：俾斯麦海海战,克利咕咕兰,2025-04-02 05:00:00,1594,754001,3788,1161,9390,9280,1027,38994,0,7.78
BV1D7fFYqELr,【医学博士】社恐是“病”吗，社恐的人到底在害怕什么？｜情商低是自闭症吗？,兔叭咯,2025-04-02 10:30:00,296,1182074,2226,1197,10348,9914,2534,41057,0,5.4
BV1bHZEY9Eoq,总觉得在女频里做皇帝比较快乐,黄东耶,2025-03-31 09:00:00,40,847357,182,1815,3359,285,300,58122,0,7.32
BV1DnZtYLEHG,程序员把鸽子接入互联网，带宽爆表，标准还被官方盖章了？,量子位,2025-04-01 03:32:10,580,476668,1411,1232,5756,4996,1439,24456,0,7.69
BV1nsZhYgEbL,小米汽车高速爆燃？电芯倒置到底保不保命？智能汽车如何确保安全,秒懂硬核君,2025-04-01 12:04:07,148,357043,303,3736,1984,151,311,3048,0,1.54
BV1vePfebEbY,一口气看完从夏朝到新中国成立中华4000多年的兴衰历史#中国历史 #上下五千年 #历史 #历史朝代,行者无疆_857,2025-02-04 01:53:24,2863,422138,3,19,30364,2139,85,4689,0,8.83
BV19tZPYpEPw,【数学之海】数学才是最克系的存在……,江城kaya,2025-03-29 10:41:23,185,974791,625,1361,93973,21437,7448,68813,0,19.66
BV1BhooYMENZ,一位健美运动员在备赛时滥用了利尿剂，这是他的心脏发生的变化,Chubbyemu,2025-03-29 03:30:00,940,2010997,20889,2183,12303,7461,3344,68962,0,4.58
BV1qyZtYfEK1,误差3秒=偏航400公里？为啥测量经度要把计时准度提升几百倍？【差评君】,差评君,2025-04-01 11:30:59,912,797054,1318,954,8585,6842,3772,26303,0,5.71
BV1sjfNYCEPX,台LNG船“因军演不敢进港” ，台网友炸锅,观察者网,2025-04-02 06:42:20,19,507429,79,905,612,225,428,18454,0,3.89
BV1KYZEYjE4q,霸王茶姬，其实是一家伪装成奶茶店的“咖啡馆”,饭统戴老板,2025-03-31 10:05:00,801,840462,950,1686,4080,1779,1353,8954,0,1.92
BV1ihfAYxEAZ,古代长明灯原理揭秘，让你见证奇迹！,创作实验工坊,2025-04-02 01:36:17,12,1018069,24,312,173,133,75,5453,0,0.57
BV1xSZ7Y1Es7,花1000块，问HR如何找工作？,耿同学讲故事,2025-03-31 11:00:00,880,395784,854,1160,11029,5994,1875,24733,0,11.02
BV1gCZbYJEMy,宇树发布 | Unitree Dex5 灵巧手 灵掌万物,Unitree宇树科技,2025-04-01 07:22:25,51,944588,595,2388,2929,1856,2772,39823,0,5.02
BV1tpZzYCEuJ,我去自首的路上被抓了还算自首吗？,183的冯予希律师,2025-03-30 11:42:29,115,891773,816,1218,1593,566,433,42165,0,5.02
BV1XbZPYQE8g,黄埔课堂开课:《手搓写字机器人》,电工鸭师傅,2025-03-29 10:22:53,184,1586289,155,126,83981,2217,263,29839,0,7.33
BV1fLZPYhEfS,校长安排残疾儿子在校工作，退休后儿子被扫地出门,泉城刘律,2025-03-29 10:11:45,77,1003188,185,995,612,386,188,45265,0,4.63
BV1QFZhY4EY9,一群疯子的呼啸山庄，到底讲了啥-一口气看懂《呼啸山庄》,1379观察员,2025-04-01 13:11:20,1234,2224513,3618,2915,63644,28317,7968,92844,0,8.67
BV1L1ZvYGEMj,连个名分都不给！打了三年换来无法加入北约，泽连斯基算是被白嫖了,军武志,2025-03-30 04:00:00,1956,1079544,7693,3142,6858,12316,1039,40480,0,5.62
BV1tYZCYpEGa,胖东来基层员工平均月薪9886元,主持人阿喆,2025-03-31 03:07:19,241,292991,772,2642,2400,1304,4077,36664,0,15.17
BV1vfZFY1EtE,什么是琉璃剪边？春日之挑战回答我！,古建筑斗拱学堂,2025-03-29 01:06:32,119,854489,8355,929,26256,30341,1674,272436,0,38.7
